location_code,GINI_2019
ALB,30.1
ARG,42.9
ARM,30
AUT,30.2
BLR,25.3
BEL,27.2
BOL,41.6
BRA,53.5
BGR,40.3
CAN,31.7
CHN,38.2
COL,51.3
CRI,48.2
HRV,28.9
CYP,31.2
CZE,25.3
DNK,27.7
DOM,41.9
ECU,45.7
EGY,31.9
SLV,38.8
EST,30.8
FJI,30.7
FIN,27.7
FRA,31.2
GEO,35.9
DEU,31.7
GRC,33.1
HND,48.2
HUN,30
IND,35
IDN,37.6
IRN,40.9
IRL,30.8
ITA,34.6
KIR,27.8
KGZ,29.7
LVA,34.5
LTU,35.3
LUX,34.2
MWI,38.5
MDV,29.3
MLT,31
MHL,35.5
MDA,26
MOZ,50.5
NLD,29.2
MKD,33.5
NOR,27.7
PAN,49.8
PRY,45.7
PER,41.6
POL,28.8
PRT,32.8
ROU,34.8
RUS,37.7
SRB,34.5
SVK,23.2
SVN,24.4
ESP,34.3
LKA,37.7
SWE,29.3
THA,34.9
TUR,41.9
UGA,42.7
UKR,26.6
GBR,32.8
USA,41.5
URY,39.7
VUT,32.3
ZWE,50.3